registeredForGroup;de;Sie wurden registriert für: <i><b>{1}</b></i>
registration;de;Registrierung
remarks;de;Bemerkungen
remove;de;Entfernen
removeFromGroup;de;Aus der Gruppe entfernen
removeMember;de;Mitglied entfernen
reset;de;Zurücksetzen
role;de;Rolle
roleChanged;de;Die Rolle des Mitglieds <b><i>{1}</i></b> wurde geändert zu: {2}
roleOf;de;Rolle von <b><i>{1}</i></b>
rowsPerPage;de;Zeilen pro Seite:
save;de;Speichern
saveFailed;de;Die Daten konnten nicht gespeichert werden.
saveOk;de;Die Daten wurden gespeichert.
searchText;de;Suchtext ...
selectImageFiles;de;Bilddateien auswählen (insgesamt max. {1} MB, max. {2} MB pro File):
selectUploadFiles;de;Datei(en) auswählen (insgesamt max. {1} MB):
self;de;Selbst
selfRegistration;de;Selbst-Registrierung
sendByEmail;de;Per Email versenden
seriesStart;de;Start der Serie
settingsSaved;de;Die Einstellungen wurden gespeichert.
showFileNames;de;Mit Filenamen
showMoreMessages;de;Mehr Meldungen anzeigen
signedUp;de;Angemeldet
sizeLimitExceeded;de;Achtung: Ihre Auswahl überschreitet die maximale Grösse!
softwareComponents;de;{1} basiert auf folgenden Open Source Software
softwareStack;de;{1} Softwarestack
sorryForError;de;Leider ist ein Fehler aufgetreten.
status;de;Status
subject;de;Betreff
submit;de;Absenden
switzerland;de;Schweiz
thanksForMessage;de;Danke für Ihre Meldung. Sie werden unsere Antwort so bald wie möglich erhalten.
theAlbum;de;Das Album
theFile;de;Die Datei
theFolder;de;Der Ordner
theGroup;de;Die Gruppe
time;de;Zeit
timeSpan;de;Zeitspanne
timeTable;de;Zeitplan
title;de;Titel
to;de;bis
toSignedupMembers;de;an alle angemeldeten Mitglieder
until;de;Bis
upload;de;Hochladen
uploadFiles;de;Datei(en) hochladen
uploadImages;de;Bilder hochladen
useContactForm;de;Bitte benützen Sie dieses Formular um uns zu kontaktieren:
useExistingAccount;de;Bitte verwenden Sie Ihr {1}-Konto für die Registrierung.
user;de;Benutzer
usersDeleted;de;{1} Benutzer gelöscht
usersNotDeleted;de;Ein oder mehrere Benutzer konnten nicht gelöscht werden
useYourOwnAccount;de;Es scheint dass Sie bereits ein Konto haben. Bitte verwenden Sie Ihr eigenes Konto.
value;de;Wert
viewAs;de;Ansicht als
weekDays;de;Wochentage
weekDaysList;de;Mo-Di-Mi-Do-Fr-Sa-So
weekly;de;Wöchentlich
write;de;Schreiben
writePermissions;de;Schreibberechtigungen beinhalten das Hinzufügen, Ändern und Löschen von Daten.
wrongOldPassword;de;Das alte Passwort ist nicht korrekt.
wrongPassword;de;Das Passwort ist nicht korrekt.
yearly;de;Jährlich
yes;de;Ja
yourGroupMemberships;de;Ihre Gruppenmitgliedschaften:
yourMessage;de;Ihre Meldung an die Gruppe ...
zipCode;de;Postleitzahl
